in_ojoregex,clean_charge_description,category,subcategory,title,statutes,chapter,gist,description,statute_link,cf_cm,cf_cm_notes,outdated,notes
TRUE,Arson (Second Degree),Property Crimes,Arson,21,21 O.S. 1402,,"burning down a building without people in it, either on purpose or while attempting to manufacture CDS",NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69867,CF,NA,NA,NA
TRUE,Arson (Third Degree),Property Crimes,Arson,21,21 O.S. 1403,,"burning down any other property valued over $50 but not covered by 1401-1402 (e.g. a car, crops, pasture lands, etc.)",NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69868,CF,NA,NA,NA
TRUE,Arson (Fourth Degree),Property Crimes,Arson,21,21 O.S. 1404,,attempting and failing to burn down any property covered by 1401-1403,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69869,CF,NA,NA,NA
TRUE,Arson (Other / Unspecified),Property Crimes,Arson,NA,NA,,NA,NA,NA,NA,NA,NA,NA
FALSE,Fraud (General),Property Crimes,Fraud / Forgery,21,21 O.S. 1500-1524,,"covers several specific instances of fraud, including ""defrauding an inkeeper / restaurant"", ""false pedigree of animals"", ""misrepresentation in selling trees, plants or shrubs"", etc.",NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69909,It Depends,NA,NA,"It makes more sense to me to roll this into ""Fraud (False Pretense / Deception)"" or even just ""Other / Unspecified"", but they're in different parts of the statute so idk"
TRUE,Fraud (False Personation),Property Crimes,Fraud / Forgery,21,21 O.S. 1531-1533,,"covers several specific instances of this type of fraud, including pretending to be married, identity theft, pretending to be a cop, etc.",NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69933,It Depends,NA,NA,NA
TRUE,Fraud (Bogus Check),Property Crimes,Fraud / Forgery,21,21 O.S. 1541,,"writing a false / bogus check. This can get complicated, but generally you have to make two or more bogus checks totalling $2k in pursuance of a common scheme or plan (a felony), or you have to write two or more bogus checks between $500-$2k with or without some kind of scheme (a misdemeanor).",NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69938,It Depends,"If the amount is is less than $2k but over $500, and there is no ""common scheme or plan to cheat and defraud"", then it's a misdemeanor. Otherwise, it's a felony",NA,NA
TRUE,Fraud (False Pretense / Deception),Property Crimes,Fraud / Forgery,21,21 O.S. 1541-1550,,"basically ""tricking someone so you can get a thing worth up to $1,000"", can include confidence games, bogus checks, fraudulent representation, etc.",NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69936,CM,NA,NA,"This technically includes ""bogus check"" and arguably even the credit card stuff, the only reason I broke it out is because there are so many in the data."
TRUE,Fraud (Credit Card),Property Crimes,Fraud / Forgery,21,21 O.S. 1550,,"there are several individual laws within section 1550, covering all kinds of credit / debit card crimes.",NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69952,It Depends,NA,NA,NA
FALSE,Fraud (False Weights and Measures),Property Crimes,Fraud / Forgery,21,21 O.S. 1551-1556,,using a false weight / scale / etc. to defraud people,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69973,Other,Fine,NA,I can't find any of these in the data
TRUE,Fraud (Forgery / Counterfeiting),Property Crimes,Fraud / Forgery,21,21 O.S. 1561-1628,,"the specific types of forgery get very hyperspecific, so this covers any instance of forgery in chapter 63, including first, second, and third degree forgery",NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=70004,It Depends,Depends on the specific thing forged and the dollar value,NA,"There are actually 3 degrees of forgery, and we might want to try to separate those out at some point. However, I'm seeing mostly unspecified ones in the data (e.g. ""UTTERING FORGED INSTRUMENTS"") so I don't think it's worth it until we have a real reason to"
TRUE,Fraud (Corporate / Insurance),Property Crimes,Fraud / Forgery,21,21 O.S. 1631-1663,,any kind of fraud specific to corporate affairs or insurance companies. i.e. chapter 64 and 65,NA,"https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=70014
https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=70029",It Depends,NA,NA,"Mostly appears as ""MAKING FALSE ENTRY IN CORPORATE RECORDS"""
FALSE,Fraud (Individual Insolvency),Property Crimes,Fraud / Forgery,21,21 O.S. 1671-1674,,defauding a creditor or making false statements about one's solvency with respect to repayment of debts to the creditor,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=70034,CM,NA,NA,I only found literally one of these in the data
FALSE,Fraud (Other / Unspecified),Property Crimes,Fraud / Forgery,NA,NA,,NA,NA,NA,NA,NA,NA,NA
TRUE,Violation of Compulsory Education Act,Other Crimes,Compulsory Education Act,70,70 O.S. 10-105,,parent / guardian neglecting or refusing to compel child to attend school,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=90120,CM,NA,NA,"Each day the child remains out of school after the oral and documented or written warning has been given to the parent, guardian, custodian, child or other person or the child has been ordered to school by the juvenile court shall constitute a separate offense."
TRUE,Speeding,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-801,,speeding 1-10 miles over,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=436892,TR,NA,NA,includes oper not reasonable and proper
TRUE,Seatbelt Violation,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 12-417,,mantory seatbelt use,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82443,TR,NA,NA,NA
TRUE,Child Seatbelt Violation,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-1112,,children under 8 must be in propor restraint system,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=438589,TR,NA,NA,NA
TRUE,Driving Under Suspension / Revocation,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 6-303,,driving while license under suspension or revocation,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=440143,CM,NA,NA,NA
TRUE,Driving Without Valid License / Security,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 6-112,,license must be in immediate possession while driving,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82112,CM,NA,NA,NA
TRUE,Driving Without Proper Tag,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 74-1151,,"includes a lot of provisions mostly related to tags/registration, original VIN, vehicle weights.",NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=447334,CM,NA,NA,"expired tag, false tag, no tag, selling fake tag, altered tag, in-state resident must have in-state tag or register it as a nonresident vehicle. vehicle cant exceed registered laden weight, providing false information for vehicle registration, operating a commercial vehicle without lettering requirements, and several regarding manufactured home registrations."
TRUE,Driving WIthout Valid Insurance,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 7-602,,compulsory insurance law,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82229,CM,NA,NA,NA
TRUE,DUI / APC,Traffic / Motor Vehicles,DUI / APC,47,47 O.S. 11-902,,DUI or APC,"driving, operating, or being in actual physical control of a motor vehicle while under the influence of any intoxicating substance",https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=439901,It Depends,It's a CM the first time and a felony afterwards,NA,DUI and APC are in the same statute and have the same penalties
TRUE,CDS Possession With Intent (PWID),Drug Crimes,Drug Stuff,63,63 O.S. 2-401,,poss. CDS w/ intent,"possessing a CDS with intent to manufacture, distriubte, dispense. Also applies to counterfiet CDS or imitation",https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=440125,CF,NA,Current,NA
TRUE,CDS Trafficking / Distribution,Drug Crimes,Drug Stuff,63,63 O.S. 2-401,,distributing CDS,distributing a CDS. Also applies to counterfiet CDS or imitation,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=440125,CF,NA,Current,NA
TRUE,CDS Possession (Simple),Drug Crimes,Drug Stuff,63,63 O.S. 2-402,,poss. CDS,knowingly or intentionally possessing a CDS,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=479470,CM,Goes back to a felony after 4 convictions in 10 years,Current,Amended by SQ 780
TRUE,"CDS Possession (Proximate to School, Park, or Minor)",Drug Crimes,Drug Stuff,63,63 O.S. 2-402,,"poss. CDS within 1,000 feet of a school / park, or in the presence of a child under 12","knowingly or intentionally possessing a CDS within 1,000 feet of a school / park, or in the presence of a child under 12",NA,CF,NA,Historical,This doesn't exist anymore bc of SQ 780
TRUE,CDS Possession (Maintaining a Place),Drug Crimes,Drug Stuff,63,63 O.S. 2-404,,maintaining a place to commit a CDS related crime,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=440598,NA,NA,NA,NA
